	library_id	project_id	sample_id	BioprojectID	PubmedID	project_name	creation_date	seq_platform	sequence_count	basepairs_count	sample_latitude	sample_longitude	sample_depth	sample_pH	sample_temp	sample_salinity	sample_location_country	sample_location_ocean_sea	collection_date	MarMDB_biome	MarMDB_material	MarMDB_geographic_feature	MarMDB_anthropogenic_material	MarMDB_organic_material	MarMDB_other_material	MarMDB_rock_type	MarMDB_sediment	MarMDB_constructed_structures	MarMDB_water_location	MarMDB_water_type	MarMDB_anthropogenic_phenomenon	MarMDB_marine_ecosystem	MarMDB_marine_water_body	MarMDB_oceanic_zone	MarMDB_oceanographic_phenomena	MarMDB_host_name	quality_above_30_SRA	mean_quality_SRA	drisee_score_raw_MGRAST	source_database	average_length	assembled
391	DRR131204	DRX123942	DRS062998	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	713010	178697730	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										95	36.69		SRA	251	No
392	DRR131205	DRX123943	DRS062999	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	892175	210685874	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										96	36.81		SRA	236	No
393	DRR131206	DRX123944	DRS063000	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	1209302	275099081	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										95	36.6		SRA	227	No
394	DRR131207	DRX123945	DRS063001	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	775869	186785108	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										97	37.27		SRA	241	No
395	DRR131208	DRX123946	DRS063002	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	795677	191946875	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										97	37.26		SRA	241	No
396	DRR131209	DRX123947	DRS063003	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	543330	139822113	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										97	37.16		SRA	257	No
397	DRR131210	DRX123948	DRS063004	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	524442	146629847	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										96	36.85		SRA	280	No
398	DRR131211	DRX123949	DRS063005	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	281537	72553186	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										95	36.81		SRA	258	No
399	DRR131212	DRX123950	DRS063006	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	244644	63252217	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										95	36.64		SRA	259	No
400	DRR131213	DRX123951	DRS063007	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	1240600	281817356	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										97	37.22		SRA	227	No
401	DRR131214	DRX123952	DRS063008	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	683876	163352229	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										97	37.15		SRA	239	No
402	DRR131215	DRX123953	DRS063009	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	1124723	260052080	43.055	144.89	0.02	7.5	19.6			Pacific Ocean	7/28/15								sediment										96	37.02		SRA	231	No
403	DRR131216	DRX123954	DRS063010	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	3175360	741029945	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	36.98		SRA	233	No
404	DRR131217	DRX123955	DRS063011	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	2224732	541160090	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	37.02		SRA	243	No
405	DRR131218	DRX123956	DRS063012	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	1645638	397647580	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	36.87		SRA	242	No
406	DRR131219	DRX123957	DRS063013	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	2449734	590119675	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	36.81		SRA	241	No
407	DRR131220	DRX123958	DRS063014	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	2900009	695243276	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	37.04		SRA	240	No
408	DRR131221	DRX123959	DRS063015	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	2559658	585260890	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	36.98		SRA	229	No
409	DRR131222	DRX123960	DRS063016	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	932448	230832899	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	36.96		SRA	248	No
410	DRR131223	DRX123961	DRS063017	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	527610	132369177	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										96	36.89		SRA	251	No
411	DRR131224	DRX123962	DRS063018	472481		Eelgrass sediment microbiome for nitrogen cycle and vitamin B12	5/28/18	ILLUMINA	304635	82710145	43.065	144.86	0.02	7.6	18.2			Pacific Ocean	7/28/15								sediment										94	36.45		SRA	272	No
486	ERR1111514	ERX1191056	ERS955803	301859		Metagenomic analysis of microbial CpG methylation in Delaware estuarine riverbank sediment	11/10/15	ILLUMINA	187525102	18940035302	38.8022	-75.203	0.3		-80		United States of America	Atlantic Ocean		estuarine		sea					sediment								mudflat		85	34		SRA	101	No
487	ERR1111515	ERX1191057	ERS955804	301859		Metagenomic analysis of microbial CpG methylation in Delaware estuarine riverbank sediment	11/10/15	ILLUMINA	186874257	18874299957	38.8022	-75.203	0.3		-80		United States of America	Atlantic Ocean		estuarine		sea					sediment								mudflat		87	34.39		SRA	101	No
488	ERR1111516	ERX1191058	ERS955805	301859		Metagenomic analysis of microbial CpG methylation in Delaware estuarine riverbank sediment	11/10/15	ILLUMINA	147990142	7547497242	38.8022	-75.203	0.3		-80		United States of America	Atlantic Ocean		estuarine		sea					sediment								mudflat		95	37.2		SRA	51	No
1496	ERR1811624	ERX1874651	ERS1512896	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	6264605	1890069527	51.7972	0.921	0.05				United Kingdom	North Sea	7/18/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.95		SRA	302	No
1497	ERR1811625	ERX1874652	ERS1512897	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	7058191	2129796528	51.7972	0.921	0.05				United Kingdom	North Sea	7/18/14	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.74		SRA	302	No
1498	ERR1811626	ERX1874653	ERS1512898	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	13572708	4095515655	51.7972	0.921	0.05				United Kingdom	North Sea	7/18/14	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.74		SRA	302	No
1499	ERR1811627	ERX1874654	ERS1512899	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	8142544	2456794905	51.7968	0.9218	0.05				United Kingdom	North Sea	7/18/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38		SRA	302	No
1500	ERR1811628	ERX1874655	ERS1512900	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	12204392	3682364072	51.7968	0.9218	0.05				United Kingdom	North Sea	7/18/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.01		SRA	302	No
1501	ERR1811629	ERX1874656	ERS1512901	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	5036235	1519509772	51.7968	0.9218	0.05				United Kingdom	North Sea	7/18/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.92		SRA	302	No
1502	ERR1811630	ERX1874657	ERS1512902	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	8592735	2592355000	51.7972	0.921	0.05				United Kingdom	North Sea	2/24/15	marine salt marsh		"sea,shore"					sediment					salt marshes					89	37.62		SRA	302	No
1503	ERR1811631	ERX1874658	ERS1512903	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	6852003	2066982939	51.7972	0.921	0.05				United Kingdom	North Sea	2/24/15	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.77		SRA	302	No
1504	ERR1811632	ERX1874659	ERS1512904	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	8705204	2625121317	51.7972	0.921	0.05				United Kingdom	North Sea	2/24/15	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.12		SRA	302	No
1505	ERR1811633	ERX1874660	ERS1512905	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	9027235	2723512760	51.7968	0.9218	0.05				United Kingdom	North Sea	2/24/15	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.87		SRA	302	No
1506	ERR1811634	ERX1874661	ERS1512906	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	11402595	3439857785	51.7968	0.9218	0.05				United Kingdom	North Sea	2/24/15	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.9		SRA	302	No
1507	ERR1811635	ERX1874662	ERS1512907	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	7121663	2148681555	51.7968	0.9218	0.05				United Kingdom	North Sea	2/24/15	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.08		SRA	302	No
1508	ERR1811636	ERX1874663	ERS1512908	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	7774280	2345581119	51.7865	0.8608	0.05				United Kingdom	North Sea	7/3/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.02		SRA	302	No
1509	ERR1811637	ERX1874664	ERS1512909	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	4223722	1274200991	51.7865	0.8608	0.05				United Kingdom	North Sea	7/3/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.97		SRA	302	No
1510	ERR1811638	ERX1874665	ERS1512910	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	10766935	3248490684	51.7865	0.8608	0.05				United Kingdom	North Sea	7/3/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.02		SRA	302	No
1511	ERR1811639	ERX1874666	ERS1512911	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	3889500	1173295467	51.7878	0.8555	0.05				United Kingdom	North Sea	7/3/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.93		SRA	302	No
1512	ERR1811640	ERX1874667	ERS1512912	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	8748139	2639581798	51.7878	0.8555	0.05				United Kingdom	North Sea	7/3/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.03		SRA	302	No
1513	ERR1811641	ERX1874668	ERS1512913	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	7813423	2356947327	51.7878	0.8555	0.05				United Kingdom	North Sea	7/3/14	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.89		SRA	302	No
1514	ERR1811642	ERX1874669	ERS1512914	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	10663737	3216960814	51.7865	0.8608	0.05				United Kingdom	North Sea	3/28/15	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.77		SRA	302	No
1515	ERR1811643	ERX1874670	ERS1512915	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	12548880	3785467660	51.7865	0.8608	0.05				United Kingdom	North Sea	3/28/15	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.93		SRA	302	No
1516	ERR1811644	ERX1874671	ERS1512916	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	11811293	3561300182	51.7865	0.8608	0.05				United Kingdom	North Sea	3/28/15	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.93		SRA	302	No
1517	ERR1811645	ERX1874672	ERS1512917	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	5271099	1589301712	51.7878	0.8555	0.05				United Kingdom	North Sea	3/28/15	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.85		SRA	302	No
1518	ERR1811646	ERX1874673	ERS1512918	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	7392731	2231054193	51.7878	0.8555	0.05				United Kingdom	North Sea	3/28/15	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.82		SRA	302	No
1519	ERR1811647	ERX1874674	ERS1512919	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	8925500	2690527246	51.7878	0.8555	0.05				United Kingdom	North Sea	3/28/15	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.03		SRA	301	No
1520	ERR1811648	ERX1874675	ERS1512920	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	6904426	2081310828	51.8302	0.9503	0.05				United Kingdom	North Sea	8/17/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.98		SRA	301	No
1521	ERR1811649	ERX1874676	ERS1512921	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	8713755	2626730851	51.8318	0.9687	0.05				United Kingdom	North Sea	8/17/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.9		SRA	301	No
1522	ERR1811650	ERX1874677	ERS1512922	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	13178015	3970880118	51.8318	0.9687	0.05				United Kingdom	North Sea	8/17/14	marine salt marsh		"sea,shore"					sediment					salt marshes					90	37.81		SRA	301	No
1523	ERR1811651	ERX1874678	ERS1512923	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	8095427	2441358276	51.8302	0.9503	0.05				United Kingdom	North Sea	8/17/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.91		SRA	302	No
1524	ERR1811652	ERX1874679	ERS1512924	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	9603480	2894141430	51.8302	0.9503	0.05				United Kingdom	North Sea	8/17/14	marine salt marsh		"sea,shore"					sediment					salt marshes					91	38.04		SRA	301	No
1525	ERR1811653	ERX1874680	ERS1512925	388614		Samples from salt marshes in the south of England	5/28/17	ILLUMINA	9892185	2981798042	51.8318	0.9687	0.05				United Kingdom	North Sea	4/10/15	marine salt marsh		"sea,shore"					sediment					salt marshes					91	37.96		SRA	301	No
