sample	group	short_reads_1	short_reads_2	short_reads_platform
DRR131204	0	DRR131204_1.fastq.gz	DRR131204_2.fastq.gz	ILLUMINA
DRR131205	0	DRR131205_1.fastq.gz	DRR131205_2.fastq.gz	ILLUMINA
DRR131206	0	DRR131206_1.fastq.gz	DRR131206_2.fastq.gz	ILLUMINA
DRR131207	0	DRR131207_1.fastq.gz	DRR131207_2.fastq.gz	ILLUMINA
DRR131208	0	DRR131208_1.fastq.gz	DRR131208_2.fastq.gz	ILLUMINA
DRR131209	0	DRR131209_1.fastq.gz	DRR131209_2.fastq.gz	ILLUMINA
DRR131210	0	DRR131210_1.fastq.gz	DRR131210_2.fastq.gz	ILLUMINA
DRR131211	0	DRR131211_1.fastq.gz	DRR131211_2.fastq.gz	ILLUMINA
DRR131212	0	DRR131212_1.fastq.gz	DRR131212_2.fastq.gz	ILLUMINA
DRR131213	0	DRR131213_1.fastq.gz	DRR131213_2.fastq.gz	ILLUMINA
DRR131214	0	DRR131214_1.fastq.gz	DRR131214_2.fastq.gz	ILLUMINA
DRR131215	0	DRR131215_1.fastq.gz	DRR131215_2.fastq.gz	ILLUMINA
DRR131216	0	DRR131216_1.fastq.gz	DRR131216_2.fastq.gz	ILLUMINA
DRR131217	0	DRR131217_1.fastq.gz	DRR131217_2.fastq.gz	ILLUMINA
DRR131218	0	DRR131218_1.fastq.gz	DRR131218_2.fastq.gz	ILLUMINA
DRR131219	0	DRR131219_1.fastq.gz	DRR131219_2.fastq.gz	ILLUMINA
DRR131220	0	DRR131220_1.fastq.gz	DRR131220_2.fastq.gz	ILLUMINA
DRR131221	0	DRR131221_1.fastq.gz	DRR131221_2.fastq.gz	ILLUMINA
DRR131222	0	DRR131222_1.fastq.gz	DRR131222_2.fastq.gz	ILLUMINA
DRR131223	0	DRR131223_1.fastq.gz	DRR131223_2.fastq.gz	ILLUMINA
DRR131224	0	DRR131224_1.fastq.gz	DRR131224_2.fastq.gz	ILLUMINA
DRR310871	0	DRR310871_1.fastq.gz	DRR310871_2.fastq.gz	ILLUMINA
DRR310872	0	DRR310872_1.fastq.gz	DRR310872_2.fastq.gz	ILLUMINA
DRR310873	0	DRR310873_1.fastq.gz	DRR310873_2.fastq.gz	ILLUMINA
DRR310874	0	DRR310874_1.fastq.gz	DRR310874_2.fastq.gz	ILLUMINA
DRR310875	0	DRR310875_1.fastq.gz	DRR310875_2.fastq.gz	ILLUMINA
DRR310876	0	DRR310876_1.fastq.gz	DRR310876_2.fastq.gz	ILLUMINA
DRR310877	0	DRR310877_1.fastq.gz	DRR310877_2.fastq.gz	ILLUMINA
DRR310878	0	DRR310878_1.fastq.gz	DRR310878_2.fastq.gz	ILLUMINA
DRR310879	0	DRR310879_1.fastq.gz	DRR310879_2.fastq.gz	ILLUMINA
DRR310880	0	DRR310880_1.fastq.gz	DRR310880_2.fastq.gz	ILLUMINA
DRR310881	0	DRR310881_1.fastq.gz	DRR310881_2.fastq.gz	ILLUMINA
DRR310882	0	DRR310882_1.fastq.gz	DRR310882_2.fastq.gz	ILLUMINA
ERR1811624	0	ERR1811624_1.fastq.gz	ERR1811624_2.fastq.gz	ILLUMINA
ERR1811625	0	ERR1811625_1.fastq.gz	ERR1811625_2.fastq.gz	ILLUMINA
